2017/01/23 09:41:59 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-55 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-55 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread started:  1-56 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-56 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-56 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread started:  1-57 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-57 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-57 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread started:  1-58 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-58 
2017/01/23 09:42:16 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-58 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread started:  1-59 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-59 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-59 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread started:  1-60 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-60 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-60 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread started:  1-61 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-61 
2017/01/23 09:42:17 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-61 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread started:  1-62 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-62 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-62 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread started:  1-63 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-63 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-63 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread started:  1-64 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-64 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-64 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread started:  1-65 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-65 
2017/01/23 09:42:18 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-65 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread started:  1-66 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-66 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-66 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread started:  1-67 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-67 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-67 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread started:  1-68 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-68 
2017/01/23 09:42:19 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-68 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread started:  1-69 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-69 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-69 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread started:  1-70 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-70 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-70 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread started:  1-71 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-71 
2017/01/23 09:42:20 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-71 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread started:  1-72 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-72 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-72 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread started:  1-73 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-73 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-73 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread started:  1-74 
2017/01/23 09:42:21 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-74 
